Лига,вуз,Сайт,J,Jvikon,Jпаук
1,Академия маркетинга и социально-информационных технологий - ИМСИТ,http://www.imsit.ru,1.0,1.0,1.0
1,Академия управления и производства,http://amp1996.ru/,1.0,1.0,1.0
1,"Арзамасский филиал федерального государственного автономного образовательного учреждения высшего образования ""Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского""",http://arz.unn.ru,1.0,1.0,1.0
1,Балаковский инженерно-технологический институт - филиал “Национального исследовательского ядерного университета “МИФИ“,https://biti.mephi.ru/,1.0,1.0,1.0
1,Белгородский государственный аграрный университет имени В.Я.Горина,http://www.bsaa.edu.ru,1.0,1.0,1.0
1,Волгоградский институт управления - филиал РАНХиГС,https://vlgr.ranepa.ru,1.0,1.0,1.0
1,Волгоградский филиал Московского гуманитарно-экономического университета,http://mgei-volga.ru/,1.0,1.0,1.0
1,Воронежский институт (филиал) Московского гуманитарно-экономического университета,http://vfmgei.ru,1.0,1.0,1.0
1,Вятский государственный агротехнологический университет,http://vgsha.info/,1.0,1.0,1.0
1,Дальневосточный институт коммуникаций,https://dvik.info,1.0,1.0,1.0
1,Дальневосточный институт управления - филиал РАНХиГС,http://dviu.ranepa.ru,1.0,1.0,1.0
1,Дзержинский филиал РАНХиГС,http://dzr.ranepa.ru/,1.0,1.0,1.0
1,"Екатеринбургский институт физической культуры (филиал) ФГБОУ ВО "" УралГУФК""",http://www.sport-ural.ru/,1.0,1.0,1.0
1,"Институт агроинженерии - филиал ""Южно-Уральский государственный аграрный университет""",http://iai.sursau.ru,1.0,1.0,1.0
1,"Институт агроэкологии - филиал ""Южно-Уральский государственный аграрный университет""",http://insagro.sursau.ru,1.0,1.0,1.0
1,Институт международного права и экономики имени А.С. Грибоедова,http://iile.ru,1.0,1.0,1.0
1,Институт современного искусства,http://www.isi-vuz.ru/,1.0,1.0,1.0
1,Институт сферы обслуживания и предпринимательства (филиал) ДГТУ в г. Шахты,http://www.sssu.ru,1.0,1.0,1.0
1,Институт туризма и гостеприимства (г. Москва),http://itig.ru,1.0,1.0,1.0
1,Институт экономики и управления в промышленности,http://ineup.ru,1.0,1.0,1.0
1,Иркутский институт (филиал) Всероссийского Государственного Университета Юстиции (РПА Минюста России),http://irk.rpa-mu.ru,1.0,1.0,1.0
1,Казанский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)»,http://kzn.rpa-mu.ru,1.0,1.0,1.0
1,Казанский филиал Российской международной академии туризма,http://www.kf-rmat.ru,1.0,1.0,1.0
1,Калужский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)»,http://kaluga.rpa-mu.ru,1.0,1.0,1.0
1,Керченский государственный морской технологический университет,http://kgmtu.ru,1.0,1.0,1.0
1,Кировский филиал Московского гуманитарно-экономического института,http://mgeu-kirov.ru/,1.0,1.0,1.0
1,Костромская государственная сельскохозяйственная академия,https://kgsxa.ru,1.0,1.0,1.0
1,Курская академия государственной и муниципальной службы,http://kagms.ru,1.0,1.0,1.0
1,"Лениногорский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Казанский национальный исследовательский технический университет им.А.Н.Туполева-КАИ""",http://www.lfkai.ru,1.0,1.0,1.0
1,"Медицинский университет ""Реавиз""",http://reaviz.ru,1.0,1.0,1.0
1,Международный инновационный университет,http://www.miu-sochi.ru,1.0,1.0,1.0
1,Московский инновационный университет,http://miu-edu.ru/,1.0,1.0,1.0
1,Московский институт современного академического образования,http://www.misaoinst.ru,1.0,1.0,1.0
1,Московский экономический институт,http://www.noumei.ru,1.0,1.0,1.0
1,"НАНО ВО ""Институт мировых цивилизаций""",http://imc-i.ru,1.0,1.0,1.0
1,"Национального исследовательского технологического университета ""МИСиС"" в г. Губкине Белгородской области",http://gf.misis.ru,1.0,1.0,1.0
1,Нижегородский институт управления - филиал РАНХиГС,http://niu.ranepa.ru,1.0,1.0,1.0
1,Нижегородский филиал Московского гуманитарно-экономического университета,http://www.mgeu-nn.ru,1.0,1.0,1.0
1,Нижнекамский филиал Московского гуманитарно-экономического института,http://mgeu-nk.ru,1.0,1.0,1.0
1,Новгородский филиал РАНХиГС,http://www.novgor.ranepa.ru/,1.0,1.0,1.0
1,Новороссийский филиал Пятигорского государственного университета,http://nf-pgu.ru/,1.0,1.0,1.0
1,Омский государственный технический университет,http://www.omgtu.ru,1.0,1.0,1.0
1,"Пермский институт железнодорожного транспорта - филиал ""Уральского государственного университета путей сообщения"" в г. Перми",http://pirt.usurt.ru/,1.0,1.0,1.0
1,Петрозаводский государственный университет,https://petrsu.ru,1.0,1.0,1.0
1,Поволжский институт управления - филиал РАНХиГС,https://piu.ranepa.ru/,1.0,1.0,1.0
1,Религиозная организация - духовная образовательная организация высшего образования Русской Православной Церкви «Общецерковная аспирантура и докторантура им. святых равноапостольных Кирилла и Мефодия»,http://www.doctorantura.ru/,1.0,1.0,1.0
1,Российский государственный университет туризма и сервиса,http://www.rguts.ru,1.0,1.0,1.0
1,Российско-Армянский (Славянский) университет,http://rau.am,1.0,1.0,1.0
1,Ростовский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)» в г. Ростове-на-Дону,http://rostov.rpa-mu.ru,1.0,1.0,1.0
1,Санкт-Петербургская государственная консерватория имени Н.А.Римского-Корсакова,http://www.conservatory.ru/,1.0,1.0,1.0
1,"Санкт-Петербургский государственный электротехнический университет ""ЛЭТИ"" им. В.И. Ульянова (Ленина)",https://etu.ru,1.0,1.0,1.0
1,"Саратовский медицинский университет ""Реавиз""",http://sar.reaviz.ru,1.0,1.0,1.0
1,Свято-Филаретовский православно-христианский институт,http://www.sfi.ru,1.0,1.0,1.0
1,Северный институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)» в г. Петрозаводске,https://ptz.rpa-mu.ru,1.0,1.0,1.0
1,Северный филиал Московского гуманитарно-экономического института,http://sf-mgei.ru,1.0,1.0,1.0
1,Северо-Западный институт (филиал) Московского гуманитарно-экономического университета,http://szfmgei.ru,1.0,1.0,1.0
1,Северо-Кавказский гуманитарный институт,http://www.skgi.ru,1.0,1.0,1.0
1,Северо-Кавказский институт (филиал) Московского гуманитарно-экономического университета,http://www.skf-mgei.ru,1.0,1.0,1.0
1,Северо-Кавказский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)» в г. Махачкале,https://mkala.rpa-mu.ru/,1.0,1.0,1.0
1,Сибирский государственный университет геосистем и технологий,http://sgugit.ru,1.0,1.0,1.0
1,Сибирский институт управления - филиал РАНХиГС,http://www.siu.ranepa.ru/,1.0,1.0,1.0
1,Смоленский филиал РАНХиГС,http://smol.ranepa.ru/,1.0,1.0,1.0
1,Сочинский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)» в г. Сочи,https://sochi.rpa-mu.ru/,1.0,1.0,1.0
1,Средне-Волжский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)» в г. Саранске,https://saransk2.rpa-mu.ru,1.0,1.0,1.0
1,Ставропольский филиал Московского гуманитарно-экономического института,http://sfmgeu.ru,1.0,1.0,1.0
1,Ставропольский филиал РАНХиГС,http://www.stav.ranepa.ru,1.0,1.0,1.0
1,Старооскольский филиал «Российского государственного геологоразведочного университета имени Серго Орджоникидзе»,http://sofmgri.ru,1.0,1.0,1.0
1,"Тарский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Омский государственный аграрный университет имени П.А. Столыпина ""(Тарский филиал ФГБОУ ВО Омский ГАУ)",http://tf.omgau.ru,1.0,1.0,1.0
1,Тверской филиал Московского гуманитарно-экономического университета,http://mgeitver.ru/,1.0,1.0,1.0
1,Технический институт (филиал) «Северо-Восточного федерального университета имени М.К. Аммосова» в г. Нерюнгри,http://nti.s-vfu.ru,1.0,1.0,1.0
1,Технологический институт сервиса (филиал) ДГТУ в г. Ставрополе,http://www.stis.su,1.0,1.0,1.0
1,Тольяттинская академия управления,http://taom.academy,1.0,1.0,1.0
1,Тульский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)»,http://tula.rpa-mu.ru,1.0,1.0,1.0
1,Тульский институт управления и бизнеса имени Никиты Демидовича Демидова,http://www.xn--90an3af.xn--p1ai,1.0,1.0,1.0
1,Университет при Межпарламентской Ассамблее ЕврАзЭС,http://www.miep.edu.ru,1.0,1.0,1.0
1,Уральский государственный лесотехнический университет,http://usfeu.ru,1.0,1.0,1.0
1,Филиал «Петербургского государственного университета путей сообщения Императора Александра I» в г. Ярославле,http://yaroslavl.pgups.ru/,1.0,1.0,1.0
1,филиал Дагестанского государственного университета в г. Дербенте,http://dguderbent.ru,1.0,1.0,1.0
1,филиал Дагестанского государственного университета в г. Хасавюрте,http://www.hasdgu.ru,1.0,1.0,1.0
1,"Филиал ФГБОУ ВО ""Российский государственный университет туризма и сервиса"" в г. Махачкале",https://www.rgutis05.ru,1.0,1.0,1.0
1,"филиал ФГБОУ ВО ""Самарский государственный технический университет"" в г.Новокуйбышевск",http://nf.samgtu.ru/,1.0,1.0,1.0
1,"Филиал частного учреждения образовательной организации высшего образования ""Медицинский университет ""РЕАВИЗ"" в городе Москве",http://mos.reaviz.ru,1.0,1.0,1.0
1,"Филиал частного учреждения образовательной организации высшего образования ""Медицинский университет ""Реавиз"" в городе Санкт-Петербурге",http://spb.reaviz.ru,1.0,1.0,1.0
1,"частное учреждение образовательная организация высшего образования ""Университет ""Реавиз""",http://spbreaviz.ru,1.0,1.0,1.0
1,Чебоксарский институт (филиал) Московского гуманитарно-экономического университета,http://www.cfmgei.ru,1.0,1.0,1.0
1,Чебоксарский филиал РАНХиГС,https://cheb.ranepa.ru,1.0,1.0,1.0
1,"Чистопольский филиал ""Восток"" федерального государственного бюджетного образовательного учреждения высшего образования ""Казанский национальный исследовательский технический университет им.А.Н.Туполева-КАИ""",http://vostok.kai.ru,1.0,1.0,1.0
1,Южно-Уральский государственный аграрный университет,http://xn--80af2bld5d.xn--p1ai,1.0,1.0,1.0
1,"Альметьевский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Казанский национальный исследовательский технический университет им.А.Н.Туполева-КАИ""",http://alf-kai.ru,1.0,0.999,1.0
1,Балтийский Гуманитарный Институт,http://bhi.spb.ru/,1.0,0.999,1.0
1,Башкирский государственный медицинский университет,http://www.bashgmu.ru/,1.0,0.999,1.0
1,Брянский институт управления и бизнеса,http://biub.ru/,1.0,0.999,1.0
1,Бурятская государственная сельскохозяйственная академия имени В.Р.Филиппова,http://bgsha.ru,1.0,0.999,1.0
1,Волгоградский институт бизнеса,http://volbi.ru/,1.0,0.999,1.0
1,Восточно-Сибирский государственный институт культуры,http://www.vsgaki.ru,1.0,0.999,1.0
1,Гуманитарно-социальный институт,http://www.vuz-gsi.ru,1.0,0.999,1.0
1,Елабужский филиал Института социальных и гуманитарных знаний,http://www.isgz.ru/,1.0,0.999,1.0
1,Институт международных экономических связей,http://imes.su/,1.0,0.999,1.0
1,Институт социальных и гуманитарных знаний,http://isgz.ru,1.0,0.999,1.0
1,"Институт управления, бизнеса и технологий",http://инупбт.рф,1.0,0.999,1.0
1,Калужский институт (филиал) Московского гуманитарно-экономического университета,http://mgeu-kaluga.ru/,1.0,0.999,1.0
1,"Кубанский государственный университет физической культуры, спорта и туризма",http://kgufkst.ru,1.0,0.999,1.0
1,Кубанский медицинский институт,http://kubmi.ru,1.0,0.999,1.0
1,"Курганский институт железнодорожного транспорта - филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Уральский государственный университет путей сообщения"" в г.Кургане (КИЖТ УрГУПС)",http://kirt.usurt.ru/,1.0,0.999,1.0
1,Курский государственный университет,http://www.kursksu.ru/,1.0,0.999,1.0
1,Лесосибирский филиал Сибирского государственного университета науки и технологий имени академика М.Ф. Решетнева,http://lfsibgu.ru/,1.0,0.999,1.0
1,Международный Институт Дизайна и Сервиса (бывший Русско-Британский Институт Управления),http://www.rbiu.ru/,1.0,0.999,1.0
1,Московская государственная академия физической культуры,http://mgafk.ru/,1.0,0.999,1.0
1,Московская государственная консерватория имени П.И. Чайковского,http://mosconsv.ru,1.0,0.999,1.0
1,Московский гуманитарно-экономический университет (АНО ВО МГЭУ),http://www.mgei.ru,1.0,0.999,1.0
1,Московский гуманитарный университет,http://mosgu.ru,1.0,0.999,1.0
1,Национальный институт бизнеса,http://www.nibmoscow.ru,1.0,0.999,1.0
1,Новороссийский филиал Московского гуманитарно-экономического университета,https://nvr-mgei.ru/,1.0,0.999,1.0
1,Омский государственный аграрный университет имени П.А. Столыпина,http://omgau.ru,1.0,0.999,1.0
1,Российский государственный аграрный университет - МСХА имени К.А. Тимирязева,http://www.timacad.ru/,1.0,0.999,1.0
1,Российский государственный университет правосудия,https://rgup.ru/,1.0,0.999,1.0
1,Самарский государственный экономический университет,http://www.sseu.ru,1.0,0.999,1.0
1,"Сочинский институт (филиал) ФГАОУ ВО ""Российский университет дружбы народов""",http://www.rudn-sochi.ru/,1.0,0.999,1.0
1,Среднерусский гуманитарно-технологический институт,http://www.сгти.рф,1.0,0.999,1.0
1,"Ставропольский институт кооперации (филиал) Белгородского университета кооперации, экономики и права",https://www.stavik.ru/,1.0,0.999,1.0
1,Сызранский филиал Самарского государственного экономического университета,http://www.syzran.sseu.ru/,1.0,0.999,1.0
1,Томский государственный архитектурно-строительный университет,http://www.tsuab.ru,1.0,0.999,1.0
1,Университет Российского инновационного образования,http://urio-edu.ru,1.0,0.999,1.0
1,Уральский государственный медицинский университет,https://usma.ru,1.0,0.999,1.0
1,"Филиал государственного бюджетного образовательного учреждения высшего образования "" Ставропольский государственный педагогический институт "" в г. Железноводске",http://zhfil.sspi.ru,1.0,0.999,1.0
1,"Челябинский институт путей сообщения - филиал ""Уральского государственного университета путей сообщения""",http://chirt.usurt.ru,1.0,0.999,1.0
1,ЧОУ ВО Южный институт менеджмента,http://uim.ru,1.0,0.999,1.0
1,Чувашский государственный университет имени И.Н.Ульянова,http://www.chuvsu.ru,1.0,0.999,1.0
1,Ярославский филиал Московского финансово-юридического университета МФЮА,http://yr.mfua.ru,1.0,0.999,1.0
1,Академия социального управления,https://asou-mo.ru,1.0,0.998,1.0
1,Бирский филиал Башкирского государственного университета,http://www.birsk.ru,1.0,0.998,1.0
1,Государственный гуманитарно-технологический университет,http://ggtu.ru,1.0,0.998,1.0
1,Елецкий государственный университет им. И.А. Бунина,http://www.elsu.ru,1.0,0.998,1.0
1,"Зеленодольский институт машиностроения и информационных технологий (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Казанский национальный исследовательский технический университет им.А.Н.Туполева-КАИ""",http://www.zfkai.ru,1.0,0.998,1.0
1,Камчатский государственный технический университет,http://kamchatgtu.ru,1.0,0.998,1.0
1,Кировский филиал Московского финансово-юридического университета МФЮА,https://kr.mfua.ru,1.0,0.998,1.0
1,"Марийский государственный университет""",https://marsu.ru,1.0,0.998,1.0
1,Московский финансово-юридический университет МФЮА,http://www.mfua.ru,1.0,0.998,1.0
1,"Набережночелнинский филиал ""Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ""",https://chelny.kai.ru/,1.0,0.998,1.0
1,Новокузнецкий институт (филиал) Кемеровского государственного университета,http://nbikemsu.ru,1.0,0.998,1.0
1,Приморская государственная сельскохозяйственная академия,http://primacad.ru/,1.0,0.998,1.0
1,Российский государственный геологоразведочный университет имени Серго Орджоникидзе,https://mgri.ru/,1.0,0.998,1.0
1,Санкт-Петербургский медико-социальный институт,http://www.medinstitut.org,1.0,0.998,1.0
1,Ставропольский государственный педагогический институт,http://www.sspi.ru,1.0,0.998,1.0
1,Тверской государственный университет,https://www.tversu.ru/,1.0,0.998,1.0
1,ФГБУ ВО филиал РГГУ в г.Домодедово,http://dom-rsuh.ru,1.0,0.998,1.0
1,"Филиал ""Ставропольский государственный педагогический институт"" в г.Буденновске",http://budfil.sspi.ru,1.0,0.998,1.0
1,Чувашский государственный институт культуры и искусств,http://chgiki.ru/,1.0,0.998,1.0
1,Югорский государственный университет,http://www.ugrasu.ru/,1.0,0.998,1.0
1,Академия гражданской защиты МЧС России,https://amchs.ru/,1.0,0.997,1.0
1,Академия социального образования,http://www.aso-ksui.ru/,1.0,0.997,1.0
1,Благовещенский государственный педагогический университет,http://bgpu.ru/,1.0,0.997,1.0
1,Институт непрерывного образования,http://www.icone.ru/,1.0,0.997,1.0
